id,round,accuracy,loss
-1,0,0.1355,1.8175
-1,1,0.1845,1.7675
-1,2,0.2835,1.7264
-1,3,0.2885,1.693
-1,4,0.2905,1.6661
-1,5,0.2905,1.6445
-1,6,0.2935,1.6274
-1,7,0.2795,1.614
-1,8,0.2795,1.6035
-1,9,0.2815,1.5954
-1,10,0.2815,1.5892
-1,11,0.2815,1.5845
-1,12,0.3205,1.581
-1,13,0.3475,1.5784
-1,14,0.3475,1.5766
-1,15,0.3475,1.5753
0,0,0.1355,1.8175
0,1,0.28,1.7626
0,2,0.2915,1.7263
0,3,0.2905,1.6895
0,4,0.2905,1.6654
0,5,0.2905,1.6429
0,6,0.2905,1.6236
0,7,0.2905,1.6121
0,8,0.2905,1.5991
0,9,0.2905,1.5848
0,10,0.2905,1.5784
0,11,0.355,1.5688
0,12,0.3475,1.5682
0,13,0.3475,1.5721
0,14,0.3475,1.5714
0,15,0.3475,1.5716
1,0,0.1355,1.8175
1,1,0.156,1.7746
1,2,0.2145,1.7398
1,3,0.238,1.7045
1,4,0.2905,1.6834
1,5,0.2905,1.6569
1,6,0.2905,1.6356
1,7,0.2905,1.6163
1,8,0.2905,1.6083
1,9,0.29,1.5988
1,10,0.2905,1.5928
1,11,0.2905,1.5825
1,12,0.291,1.5767
1,13,0.29,1.5727
1,14,0.334,1.5651
1,15,0.3555,1.5624
2,0,0.1355,1.8175
2,1,0.114,1.7696
2,2,0.1885,1.726
2,3,0.2905,1.6946
2,4,0.2905,1.6731
2,5,0.2905,1.6512
2,6,0.2905,1.6253
2,7,0.2905,1.5973
2,8,0.2915,1.5866
2,9,0.286,1.582
2,10,0.2795,1.5792
2,11,0.2795,1.5825
2,12,0.326,1.5779
2,13,0.3475,1.5769
2,14,0.3475,1.574
2,15,0.3475,1.5703
3,0,0.1355,1.8175
3,1,0.168,1.7656
3,2,0.285,1.724
3,3,0.2905,1.6855
3,4,0.2905,1.6421
3,5,0.2905,1.6225
3,6,0.2905,1.6065
3,7,0.2905,1.6006
3,8,0.339,1.5934
3,9,0.34,1.5877
3,10,0.342,1.583
3,11,0.3475,1.5749
3,12,0.3475,1.5719
3,13,0.3475,1.5692
3,14,0.3475,1.5685
3,15,0.3475,1.5656
4,0,0.1355,1.8175
4,1,0.188,1.761
4,2,0.291,1.7163
4,3,0.2905,1.6935
4,4,0.2905,1.6732
4,5,0.2905,1.6507
4,6,0.2905,1.6207
4,7,0.2905,1.6059
4,8,0.2885,1.5951
4,9,0.2875,1.5938
4,10,0.288,1.5912
4,11,0.2905,1.5808
4,12,0.29,1.5771
4,13,0.342,1.5699
4,14,0.3475,1.568
4,15,0.3475,1.5665
5,0,0.1355,1.8175
5,1,0.2555,1.763
5,2,0.289,1.7197
5,3,0.2905,1.6685
5,4,0.2905,1.638
5,5,0.2905,1.6238
5,6,0.2905,1.6108
5,7,0.2905,1.5991
5,8,0.2905,1.5854
5,9,0.2915,1.5796
5,10,0.3295,1.5756
5,11,0.276,1.5793
5,12,0.2745,1.5804
5,13,0.291,1.5828
5,14,0.291,1.5754
5,15,0.321,1.5664
6,0,0.1355,1.8175
6,1,0.16,1.7697
6,2,0.144,1.7344
6,3,0.242,1.696
6,4,0.2905,1.6646
6,5,0.2905,1.6407
6,6,0.2905,1.6225
6,7,0.2885,1.6136
6,8,0.327,1.597
6,9,0.331,1.5869
6,10,0.3475,1.5788
6,11,0.3475,1.5743
6,12,0.3455,1.5721
6,13,0.3475,1.569
6,14,0.3265,1.5662
6,15,0.3475,1.5652
7,0,0.1355,1.8175
7,1,0.241,1.7702
7,2,0.288,1.7296
7,3,0.2905,1.6949
7,4,0.2905,1.6646
7,5,0.2905,1.6413
7,6,0.2905,1.6312
7,7,0.2905,1.6204
7,8,0.2905,1.6086
7,9,0.2905,1.5956
7,10,0.2905,1.5876
7,11,0.2905,1.5803
7,12,0.281,1.5747
7,13,0.298,1.5712
7,14,0.347,1.569
7,15,0.3475,1.5682
8,0,0.1355,1.8175
8,1,0.205,1.7732
8,2,0.231,1.7312
8,3,0.253,1.6979
8,4,0.2865,1.6529
8,5,0.2935,1.6323
8,6,0.2915,1.6265
8,7,0.2905,1.6109
8,8,0.291,1.6015
8,9,0.29,1.5976
8,10,0.2905,1.5951
8,11,0.2905,1.5893
8,12,0.284,1.5859
8,13,0.287,1.5841
8,14,0.2915,1.5806
8,15,0.2835,1.5774
9,0,0.1355,1.8175
9,1,0.249,1.7594
9,2,0.2795,1.7133
9,3,0.2905,1.6686
9,4,0.2805,1.6451
9,5,0.29,1.6255
9,6,0.2975,1.6117
9,7,0.326,1.5978
9,8,0.298,1.5883
9,9,0.344,1.5814
9,10,0.3475,1.575
9,11,0.3475,1.5702
9,12,0.3475,1.5691
9,13,0.3475,1.5657
9,14,0.3475,1.5632
9,15,0.3475,1.5624
10,0,0.1355,1.8175
10,1,0.1965,1.7664
10,2,0.2905,1.7247
10,3,0.2905,1.6884
10,4,0.2905,1.6585
10,5,0.2905,1.6351
10,6,0.291,1.6174
10,7,0.293,1.605
10,8,0.2815,1.596
10,9,0.2905,1.5901
10,10,0.2905,1.5855
10,11,0.292,1.5798
10,12,0.2905,1.5773
10,13,0.284,1.5752
10,14,0.2745,1.5725
10,15,0.309,1.5706
